Inicio de programa
T: [23:00] --> Temperatura: 20.10ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.17 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [23:15] --> Temperatura: 20.10ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.17 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Evaluando...
T: [23:30] --> Temperatura: 20.10ºC | Humedad relativa: 69.00% | Humedad absoluta: 11.99 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [23:45] --> Temperatura: 20.00ºC | Humedad relativa: 68.00% | Humedad absoluta: 11.75 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [24:00] --> Temperatura: 20.00ºC | Humedad relativa: 67.00% | Humedad absoluta: 11.58 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [24:15] --> Temperatura: 20.00ºC | Humedad relativa: 67.00% | Humedad absoluta: 11.58 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [24:30] --> Temperatura: 19.90ºC | Humedad relativa: 66.00% | Humedad absoluta: 11.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [24:45] --> Temperatura: 19.90ºC | Humedad relativa: 65.00% | Humedad absoluta: 11.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
Humedad por debajo del mínimo. Apagando...
Fin de programa. Que tenga un buen día :)
