Inicio de programa
T: [14:14] --> Temperatura: 21.40ºC | Humedad relativa: 76.30% | Humedad absoluta: 14.30 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:29] --> Temperatura: 21.30ºC | Humedad relativa: 75.90% | Humedad absoluta: 14.15 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:44] --> Temperatura: 21.30ºC | Humedad relativa: 75.40% | Humedad absoluta: 14.05 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:59] --> Temperatura: 21.30ºC | Humedad relativa: 75.10% | Humedad absoluta: 14.00 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:14] --> Temperatura: 21.20ºC | Humedad relativa: 74.10% | Humedad absoluta: 13.73 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:29] --> Temperatura: 21.20ºC | Humedad relativa: 72.90% | Humedad absoluta: 13.51 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [15:44] --> Temperatura: 21.10ºC | Humedad relativa: 72.40% | Humedad absoluta: 13.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [15:59] --> Temperatura: 21.10ºC | Humedad relativa: 71.20% | Humedad absoluta: 13.12 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:14] --> Temperatura: 21.10ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.90 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:29] --> Temperatura: 21.10ºC | Humedad relativa: 68.60% | Humedad absoluta: 12.64 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:44] --> Temperatura: 21.00ºC | Humedad relativa: 65.70% | Humedad absoluta: 12.03 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:59] --> Temperatura: 21.00ºC | Humedad relativa: 64.20% | Humedad absoluta: 11.76 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
Humedad por debajo del mínimo. Apagando...
Fin de programa. Que tenga un buen día :)
